Annual Total,"Electricity Net Generation, Electric Power Sector","Electricity Net Generation, Commercial Sector","Electricity Net Generation, Industrial Sector","Electricity Net Generation, Total",Electricity Imports,Electricity Exports,Electricity Net Imports,Transmission and Distribution Losses and Unaccounted for,"Electricity Retail Sales, Total",Electricity Direct Use,"Electricity End Use, Total"
,(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours),(Billion Kilowatthours)
1990,2901.322,5.837,130.83,3037.827,18.445,16.134,2.312,203.056,2712.555,124.529,2837.084
1991,2935.561,5.659,132.579,3073.799,21.931,2.305,19.626,207.365,2762.003,124.057,2886.06
1992,2934.374,6.228,143.28,3083.882,28.247,2.827,25.42,212.096,2763.365,133.841,2897.207
1993,3043.897,7,146.294,3197.191,31.358,3.541,27.817,224.308,2861.462,139.238,3000.7
1994,3088.725,7.619,151.178,3247.522,46.833,2.01,44.823,211.457,2934.563,146.325,3080.888
1995,3194.23,8.232,151.025,3353.487,42.854,3.623,39.231,228.755,3013.287,150.677,3163.963
1996,3284.141,9.03,151.017,3444.188,43.497,3.302,40.195,230.617,3101.127,152.638,3253.765
1997,3329.375,8.701,154.097,3492.172,43.031,8.974,34.057,224.38,3145.61,156.239,3301.849
1998,3457.416,8.748,154.132,3620.295,39.513,13.656,25.857,221.056,3264.231,160.866,3425.097
1999,3529.982,8.563,156.264,3694.81,43.215,14.222,28.993,240.086,3312.087,171.629,3483.716
2000,3637.529,7.903,156.673,3802.105,48.592,14.829,33.763,243.511,3421.414,170.943,3592.357
2001,3580.053,7.416,149.175,3736.644,38.5,16.473,22.027,201.564,3394.458,162.649,3557.107
2002,3698.458,7.415,152.58,3858.452,36.779,15.796,20.983,247.785,3465.466,166.184,3631.65
2003,3721.159,7.496,154.53,3883.185,30.395,23.975,6.42,227.576,3493.734,168.295,3662.029
2004,3808.36,8.27,153.925,3970.555,34.21,22.898,11.312,265.918,3547.479,168.47,3715.949
2005,3902.192,8.492,144.739,4055.423,43.929,19.151,24.778,269.217,3660.969,150.016,3810.984
2006,3908.077,8.371,148.254,4064.702,42.691,24.271,18.42,266.277,3669.919,146.927,3816.845
2007,4005.343,8.273,143.128,4156.745,51.396,20.144,31.252,297.766,3764.561,125.67,3890.231
2008,3974.349,7.926,137.113,4119.388,57.019,24.198,32.821,286.048,3733.965,132.197,3866.161
2009,3809.837,8.165,132.329,3950.331,52.191,18.138,34.053,260.65,3596.795,126.938,3723.733
2010,3972.386,8.592,144.082,4125.06,45.083,19.106,25.977,264.285,3754.841,131.91,3886.752
2011,3948.186,10.08,141.875,4100.141,52.3,15.049,37.251,254.792,3749.846,132.754,3882.6
2012,3890.358,11.301,146.107,4047.765,59.257,11.996,47.261,262.72,3694.65,137.657,3832.306
2013,3903.715,12.234,150.015,4065.964,69.249,11.373,57.876,255.51,3724.868,143.462,3868.33
2014,3937.003,12.52,144.083,4093.606,66.51,13.298,53.212,243.544,3764.7,138.574,3903.274
2015,3919.294,12.595,145.712,4077.601,75.77,9.1,66.671,244.112,3758.992,141.168,3900.16
2016,3918.078,12.706,145.89,4076.675,72.716,6.214,66.502,240.879,3762.462,139.837,3902.298
2017,3877.453,13.06,143.758,4034.271,65.685,9.371,56.314,226.269,3723.356,140.959,3864.315
2018,4018.167,13.312,146.798,4178.277,58.261,13.804,44.456,219.644,3859.185,143.904,4003.089
2019,3965.629,13.689,148.537,4127.855,59.052,20.008,39.044,212.479,3811.15,143.27,3954.421
2020,3850.917,13.046,143.056,4007.019,61.449,14.135,47.314,197.969,3717.674,138.69,3856.364
